engine_id,mission_id,window_start_time,window_end_time,anomaly_score,anomaly_alert,normal_probability,fault_probability,predicted_faults,fault_probability_misfire,fault_probability_injector_degradation,fault_probability_turbo_issue,fault_probability_lubrication_issue,fault_probability_sensor_drift,fault_probability_overheating,fault_probability_electrical_fault,fault_probability_bearing_fault,rul_mean_hours,rul_lower_hours,rul_upper_hours,health_index,data_quality_warning,gt_anomaly,gt_faults,gt_rul_hours,gt_health_index,mission_risk
fault_eng_001,misfire_001,0.0,9.5,0.4506704818457365,False,0.9987809658050537,0.00121904700063169,none,0.0008762087672948837,0.00017998216208070517,1.2185340665382682e-06,0.00028037585434503853,1.1420471309975255e-05,1.1024687864846783e-06,8.016624633455649e-05,1.3289432899910025e-05,2.988382577896118,2.1371653079986572,4.198469638824463,47.15300750732422,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,5.0,14.5,0.3879283105386431,False,0.9981039762496948,0.0018960445886477828,none,0.003803807310760021,0.0016939579509198666,6.852133083157241e-05,0.004794791340827942,0.00014362642832566053,0.00017933224444277585,0.001639222027733922,0.0002498959074728191,2.827606201171875,2.0012922286987305,3.8362693786621094,40.280250549316406,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,10.0,19.5,0.22224132119168338,False,0.998180091381073,0.0018199015175923705,none,0.0022295783273875713,0.001216575619764626,0.00011706024088198319,0.006190111860632896,0.00029691349482163787,0.0005198709550313652,0.0035484114196151495,0.00048055595834739506,2.5417535305023193,1.6084994077682495,3.3431429862976074,36.661895751953125,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,15.0,24.5,0.1774076069861545,False,0.9986813068389893,0.001318691880442202,none,0.0009408725891262293,0.0005259622121229768,5.145604882272892e-05,0.001517727505415678,0.00014048225420992821,0.0002809554571285844,0.002103125676512718,0.00019016746955458075,2.2989652156829834,1.39310884475708,3.1930992603302,37.32935333251953,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,20.0,29.5,0.16938387863630155,False,0.9988849759101868,0.0011150249047204852,none,0.0009892714442685246,0.0005545983440242708,5.146433977643028e-05,0.0014260460156947374,0.00014982996799517423,0.0003176931641064584,0.002003306522965431,0.00019860755128320307,2.279445171356201,1.374584674835205,3.189131259918213,35.750892639160156,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,25.0,34.5,0.1554684773301526,False,0.9987871050834656,0.0012129187816753983,none,0.001224552863277495,0.0006725287530571222,7.298750279005617e-05,0.002246416639536619,0.00018160934268962592,0.00044595112558454275,0.0027511101216077805,0.0002631329116411507,2.154503345489502,1.2716970443725586,2.99458909034729,35.43763732910156,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,30.0,39.5,0.152446908958963,False,0.9990695118904114,0.0009304676204919815,none,0.000872899719979614,0.00043955582077614963,4.6696437493665144e-05,0.0010482531506568193,0.00012555750436149538,0.0002697354357223958,0.001748757786117494,0.0001433597644791007,1.9646095037460327,1.122319221496582,2.7633841037750244,33.99237823486328,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,35.0,44.5,0.15103238995652646,False,0.9981229305267334,0.0018770616734400392,none,0.0015049516223371029,0.0009697754867374897,0.00013632512127514929,0.0024653899017721415,0.000264873233390972,0.0008069248287938535,0.003458141116425395,0.0003563762584235519,1.8639694452285767,1.0277758836746216,2.6431193351745605,31.94637680053711,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,40.0,49.5,0.10191791434772313,False,0.9981117844581604,0.0018882332369685173,none,0.0023107039742171764,0.0018895926186814904,0.00020801951177418232,0.004119734279811382,0.0004395966825541109,0.0017879162915050983,0.005012051202356815,0.0006645137327723205,2.0277862548828125,1.0980751514434814,2.8350727558135986,32.08595275878906,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,45.0,54.5,0.15128770405640482,False,0.9988514184951782,0.0011485618306323886,none,0.001819593133404851,0.001137681887485087,9.909781510941684e-05,0.0010752605739980936,0.00023162215074989945,0.0007069379207678139,0.002056604251265526,0.000256821746006608,2.1607675552368164,1.2654271125793457,3.076840877532959,33.2668571472168,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,50.0,59.5,0.15353366746144698,False,0.9975961446762085,0.0024038716219365597,none,0.004911845549941063,0.0031628627330064774,0.0004773114633280784,0.003830183297395706,0.000808032404165715,0.0026482867542654276,0.005418801214545965,0.0009573559509590268,2.1131951808929443,1.1862715482711792,3.0070462226867676,32.687374114990234,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,55.0,64.5,0.1508389991358854,False,0.9984745383262634,0.0015254421159625053,none,0.003144850255921483,0.002531582023948431,0.0002586593618616462,0.003172400640323758,0.00048025103751569986,0.0018877624534070492,0.004156326875090599,0.000681426259689033,1.9060975313186646,1.0095374584197998,2.642740249633789,30.897056579589844,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,60.0,69.5,0.0991034876788035,False,0.9988086223602295,0.0011913742637261748,none,0.0019745868630707264,0.0019061691127717495,0.00016925316595006734,0.002559507032856345,0.00030788773437961936,0.0015290224691852927,0.003382490249350667,0.0004889753763563931,1.8154720067977905,0.9625665545463562,2.542865514755249,30.53759765625,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,65.0,74.5,0.0007561809616163373,False,0.9986250996589661,0.00137487449683249,none,0.001207435387186706,0.0011341182980686426,9.849214984569699e-05,0.0015064598992466927,0.0001850843254942447,0.001122965826652944,0.00241673830896616,0.0002661406761035323,1.7178471088409424,0.8733422160148621,2.4583520889282227,30.89895248413086,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,70.0,79.5,0.0007820576429367065,False,0.9985780715942383,0.0014219229342415929,none,0.0022805072367191315,0.0022063241340219975,0.0001803219347493723,0.002371556591242552,0.0004057508776895702,0.0020183376036584377,0.0034821433946490288,0.0005556422402150929,1.9691247940063477,1.0656960010528564,2.838068962097168,31.330129623413086,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,75.0,84.5,0.000825819734018296,False,0.9984984993934631,0.0015014903619885445,none,0.00201543141156435,0.0018459187122061849,0.00014605838805437088,0.0013196133077144623,0.00026505233836360276,0.0015535110142081976,0.00259431847371161,0.0003374594380147755,1.8907575607299805,0.9682742357254028,2.7311017513275146,32.00462341308594,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,80.0,89.5,0.000942088256124407,False,0.9982871413230896,0.0017128876643255353,none,0.002851072233170271,0.002960360608994961,0.00031742797000333667,0.002660831669345498,0.0004850439145229757,0.0031254917848855257,0.0040880911983549595,0.0006825929740443826,1.7768133878707886,0.855016827583313,2.480134963989258,30.764842987060547,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,85.0,94.5,0.0010113466996699572,False,0.9981611967086792,0.0018388121388852596,none,0.003646407974883914,0.003732906188815832,0.0004973473842255771,0.0027628764510154724,0.0008184357429854572,0.004205699078738689,0.004818987101316452,0.0010527150006964803,1.810750126838684,0.9080467820167542,2.557047128677368,31.326698303222656,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,90.0,99.5,0.0006570537225343287,False,0.9988053441047668,0.0011946430895477533,none,0.002561476081609726,0.002343397820368409,0.00022967110271565616,0.0015884021995589137,0.00045283400686457753,0.0022544735111296177,0.0031671321485191584,0.0005198644939810038,1.7160675525665283,0.8566370606422424,2.474595069885254,31.060728073120117,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,95.0,104.5,0.0008271257975138724,False,0.9984961152076721,0.0015038650017231703,none,0.002662964863702655,0.002768427599221468,0.00025586268748156726,0.002079316647723317,0.0005381579394452274,0.0026886744890362024,0.0036930108908563852,0.0006238100468181074,1.7071930170059204,0.8030206561088562,2.4170987606048584,30.86867904663086,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
fault_eng_001,misfire_001,100.0,109.5,0.41620481816335,False,0.9974609017372131,0.0025391005910933018,sensor_drift; bearing_fault,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,34183688.0,29433776.0,46614740.0,100.0,36_missing_values_imputed; rail_pressure_bar_out_of_range,,none,,,elevated
