engine_id,mission_id,global_time_s,throttle_actual,true_rpm,air_density_kg_m3,altitude_m,rpm,boost_pressure_kPa,manifold_pressure_kPa,cht_cyl_avg_C,egt_cyl_avg_C,oil_pressure_kPa,oil_temp_C,coolant_temp_C,fuel_flow_g_s,fuel_temp_C,rail_pressure_bar,vib_rms_g,battery_voltage_V,airspeed_mps,vertical_speed_mps,engine_power_command_kW,true_brake_power_kW,fault_active,fault_misfire_active,fault_injector_active,fault_turbo_active,fault_lubrication_active,fault_sensor_active,fault_overheating_active,fault_electrical_active,fault_bearing_active,simulated_rul_hours,true_overall_health_index
eng_normal_cruise,normal_cruise,0.5,0.9253502895232428,2812.5,1.1772908831487316,554.9200263659945,2813.712921827984,185.45558543714165,277.48785846414967,197.963389448732,391.2700675316467,414.0665861646757,39.31048949167293,67.63338687121,7.0467011518300255,22.55204779486672,1553.9995814284632,0.0204074983433479,28.410708225779004,34.73652724371185,4.544297453719163,116.86744107513542,115.95375054197376,0,0,0,0,0,0,0,0,0,,99.975984267426
eng_normal_cruise,normal_cruise,1.0,0.9308199911840572,2812.5,1.1770199047935477,557.1921750928541,2809.8408319486743,185.3709329425921,276.9021560689071,197.9927417809248,391.9511266021796,409.3964699124778,39.44331209663336,67.55287854725897,7.04636897329432,22.45868465757201,1552.6640631727246,0.0222499488578314,28.426280179568288,34.42729354284092,4.368627386020206,117.88779659891154,115.97039357748164,0,0,0,0,0,0,0,0,0,,99.97591878889094
eng_normal_cruise,normal_cruise,1.5,0.9262553790606258,2812.5,1.1767594134653745,559.3764887858642,2813.6137461797034,185.4769110810124,277.0219015300077,198.22199537753363,391.7430278055244,411.65721757932727,39.35213627367271,67.50291182572587,7.015308231441748,22.392587380404024,1549.3263296316582,0.0218702571145236,28.48722004624377,34.30683892638055,4.130983514723108,117.293313584585,115.99018184953246,0,0,0,0,0,0,0,0,0,,99.97585321750812
eng_normal_cruise,normal_cruise,2.0,0.9200342744401916,2812.5,1.1765130858882982,561.4419805432258,2814.477347707666,185.0657574284896,276.1059656967991,198.26729760928103,393.339961229068,411.39050969017694,39.29920560425247,67.61963367803743,7.045406056532548,22.400202310310508,1548.897011800125,0.0214062058575649,28.4053931350888,34.10566658966714,3.84783658780407,117.6703909205103,115.90261920215082,0,0,0,0,0,0,0,0,0,,99.97578756431948
eng_normal_cruise,normal_cruise,2.5,0.9245016206140784,2812.5,1.176283618310011,563.3658988371278,2816.151254343042,185.79093159561364,275.9556382047953,198.4634744519973,389.78249922714696,412.27306170524696,39.24419775202902,67.55482080996335,7.017383654284576,22.28055887383296,1551.154712539082,0.0225353505911216,28.47867130510597,34.18393460103724,3.5364112872168434,117.24040687208311,115.68330044655494,0,0,0,0,0,0,0,0,0,,99.9757221866813
eng_normal_cruise,normal_cruise,3.0,0.9283741315806496,2812.5,1.1760726827731014,565.1341044807363,2811.742871042788,184.1266219694872,276.18785126486694,198.5889347001056,391.12870122792265,410.6369564553627,39.18391830232623,67.6082386337707,6.974500243534404,22.355358292767548,1543.113234301369,0.0212489814777398,28.44354939036741,34.500372058384514,3.2614534828846047,117.0474488212091,115.46662878857164,0,0,0,0,0,0,0,0,0,,99.97565729492312
eng_normal_cruise,normal_cruise,3.5,0.9194322516608978,2812.5,1.175878105852172,566.7648312221786,2811.396120830017,184.889317043764,276.73752242838026,198.7090334852495,390.3306273458477,412.5962590562498,39.274978969076926,67.59953072784877,6.943516487435503,22.38721262336624,1544.6968893688795,0.0209720963324975,28.46421165975159,34.35630646340535,3.023179798986624,116.43243606705332,115.13252629792414,0,0,0,0,0,0,0,0,0,,99.97559255119327
eng_normal_cruise,normal_cruise,4.0,0.9202199355547356,2812.5,1.1756977029342666,568.2764211216719,2818.131697474992,184.75400026847507,276.780786307652,198.80314291506767,390.7433428529646,414.5132457548576,39.34688429772374,67.60430890960995,6.974768996719744,22.32298712243268,1539.6240322601018,0.0223602719620312,28.48781958019024,34.16350851200402,2.739643074280635,117.1551165079858,115.03654133484666,0,0,0,0,0,0,0,0,0,,99.975527729744
eng_normal_cruise,normal_cruise,4.5,0.9199440397152168,2812.5,1.175534156492431,569.6462426588122,2808.951867389096,185.1917591815441,276.42132033035244,198.9440529967545,390.6855235090829,414.6644768462714,39.27896611529422,67.44397674668903,7.071699707161514,22.42218576221101,1541.397868947195,0.0224943304778465,28.55225702694548,34.24950726915716,2.422047738418474,115.56618817609916,115.04983605474465,0,0,0,0,0,0,0,0,0,,99.97546300401152
eng_normal_cruise,normal_cruise,5.0,0.9092974651773912,2812.5,1.1753894831432874,570.8572665280215,2812.0844927413696,184.73682370931456,276.79747447352963,198.94107420273443,390.6511895731437,414.0578935031614,39.390188583929486,67.56609602503667,6.950234917564921,22.44206502430565,1541.9832837036654,0.0207322292945214,28.359705704727496,34.28672611731983,2.1192744042407954,116.29642332000142,115.04091299394364,0,0,0,0,0,0,0,0,0,,99.9753983441807
